ID,DATE,TYPE,KIA,WIA,CITY,REGION,COUNTRY,DETAILS,GROUP,REMARKS,TEXT
1,00:00.0,CACHE/FOUND,0,0,Kramatorsk,DONETSK,UKRAINE,IEDs were found and disposed by Combat Engineers,,TBC if they were just landmines,IEDs were found and disposed by Combat Engineers TBC if they were just landmines
2,00:00.0,UNKNOWN,0,0,Kharkiv,KHARKIV,UKRAINE,An IED was blown up in front of a ROSHEN shop,,Shopping Center ,An IED was blown up in front of a ROSHEN shop Shopping Center 
3,00:00.0,UNKNOWN,0,0,Kievæ,æKIEV,UKRAINEæ,A device was detonated against a restaurant (LKafa),,Boulevard Lesi Ukrainian,A device was detonated against a restaurant (LKafa) Boulevard Lesi Ukrainian
4,00:00.0,HOAX/FALSE,0,0,Ivano-Frankivsk,IVANO-FRANKIVSK,UKRAINE,Call reporting IED - First Responders action - no explosive,,Central Metro/bus station,Call reporting IED - First Responders action - no explosive Central Metro/bus station
5,00:00.0,CACHE/FOUND,0,0,Krasnoarmiisk,DONETSK,UKRAINE,An IED was found and disposed by EOD,,,An IED was found and disposed by EOD 
6,00:00.0,CACHE/FOUND,0,0,Avdeevka,DONETSK,UKRAINE,A cache with 3 IEDs with TNT was found and cleared,,Inside an abandoned house,A cache with 3 IEDs with TNT was found and cleared Inside an abandoned house
7,00:00.0,UNKNOWN,0,0,Uzhgorod,ZAKARPATS'KA,UKRAINE,An IED was detonated against a store in Franko Street,,,An IED was detonated against a store in Franko Street 
8,00:00.0,CACHE/FOUND,0,0,Mariupol ,DONETSK,UKRAINE,"Several landmines, 800 gr of TNT and electric detonators were found",,,"Several landmines, 800 gr of TNT and electric detonators were found "
9,00:00.0,UNKNOWN,0,0,Avdotyino,DONETSK,UKRAINE,A device was blown up damaging a power substation,,,A device was blown up damaging a power substation 
10,00:00.0,CACHE/FOUND,0,0,Shchastya,LUHANSK ,UKRAINE,"A cache was discovered: weapons, 1 Kg TNT & electric detonators",,Near a pump station,"A cache was discovered: weapons, 1 Kg TNT & electric detonators Near a pump station"
11,00:00.0,UNKNOWN,0,0,Simferopol,CRIMEA,UKRAINE,IED attack against a power substation,,,IED attack against a power substation 
12,00:00.0,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,Lukyanovska Metro station,Call reporting IED - First Responders action - no explosive Lukyanovska Metro station
13,00:00.0,CACHE/FOUND,0,0,Klisiivka,DONETSK,UKRAINE,"Near the railway, 500 gr of plastic explosive were found",,,"Near the railway, 500 gr of plastic explosive were found "
14,00:00.0,CACHE/FOUND,0,0,Shchastya,LUHANSK ,UKRAINE,3 detonators & 600 gr TNT,,,3 detonators & 600 gr TNT 
15,00:00.0,CACHE/FOUND,0,0,Bovrove,LUHANSK ,UKRAINE,A Command-Wired IED was found near a road close to a gas pipeline,,800 gr TNT & electric detonators,A Command-Wired IED was found near a road close to a gas pipeline 800 gr TNT & electric detonators
16,00:00.0,UNKNOWN,0,0,TBD,KHERSON,UKRAINE,Four electrical towers were blown up,,Electrical power to Crimea was disrrupted,Four electrical towers were blown up Electrical power to Crimea was disrrupted
17,00:00.0,CACHE/FOUND,0,0,Kryvyi Rih,DNIPROPETROVSK,UKRAINE,An IED was found in front of the City Council,,"800 gr TNT& detonating cord, but without any fuze or switch","An IED was found in front of the City Council 800 gr TNT& detonating cord, but without any fuze or switch"
18,00:00.0,UNKNOWN,0,0,TBD,KHERSON,UKRAINE,Two electrical towers were blown up,,Electrical power to Crimea was disrrupted,Two electrical towers were blown up Electrical power to Crimea was disrrupted
19,00:00.0,CACHE/FOUND,0,0,Druzkivci,DONETSK,UKRAINE,"Ammunition, explosives and detonators were found",,,"Ammunition, explosives and detonators were found "
20,00:00.0,CACHE/FOUND,0,0,Mariupol ,DONETSK,UKRAINE,"2,5 Kg of plastic explosive were found",,,"2,5 Kg of plastic explosive were found "
21,00:00.0,HOAX/FALSE,0,0,Kievæ,æKIEV,UKRAINEæ,Call reporting IED - First Responders action - no explosive,,Teatralna & Kreshatyk Metro stations,Call reporting IED - First Responders action - no explosive Teatralna & Kreshatyk Metro stations
