s_id,t_id,cs_value
467,530,0.595939607
467,526,0.625820564
469,526,0.520346456
469,540,0.503920742
469,489,0.530034521
470,540,0.522699362
470,526,0.53973718
470,530,0.513966433
470,525,0.501747757
470,545,0.501747757
476,545,0.52476542
476,555,0.596466564
476,525,0.52476542
476,526,0.564497608
476,511,0.675569522
476,502,0.574851659
476,530,0.537544629
476,540,0.54667818
476,489,1
476,469,0.530034521
476,464,0.577220027
476,451,0.825963427
476,324,0.553808698
476,304,0.750041881
476,269,0.564497608
476,277,0.6814358
476,295,0.54667818
476,303,0.54667818
476,299,0.52476542
476,194,0.825963427
476,146,0.52476542
476,80,0.825963427
476,28,0.825963427
476,106,0.51180637
479,298,0.641859507
480,464,0.575481632
481,458,0.599740153
481,467,0.526731041
481,483,0.664720327
481,500,0.599740153
481,501,0.599740153
481,303,0.677737931
481,510,0.643160165
483,578,0.624853184
483,597,0.5139784
483,500,0.902244341
483,501,0.902244341
483,486,0.740381705
486,501,0.668005203
486,500,0.668005203
486,578,0.588998195
489,555,0.596466564
489,545,0.52476542
489,540,0.54667818
489,502,0.574851659
495,502,0.594587703
495,499,0.741629668
499,502,0.554259184
500,501,1
500,507,0.536325999
500,578,0.563770249
501,578,0.563770249
501,507,0.536325999
510,507,0.575154951
510,501,0.932489581
510,500,0.932489581
510,486,0.570198299
510,483,0.812497912
510,458,0.932489581
510,236,0.624606918
511,146,0.55692751
511,194,0.712855315
511,106,0.543174218
511,80,0.712855315
511,467,0.559682004
511,451,0.712855315
511,489,0.675569522
511,502,0.593361412
511,299,0.55692751
511,303,0.580183269
511,295,0.580183269
511,515,0.538147233
511,516,0.607274029
511,517,0.55016029
511,518,0.531263852
511,523,0.656790896
511,526,0.599094823
511,525,0.55692751
511,540,0.580183269
511,530,0.570489936
511,549,0.57370627
511,555,0.590847033
511,545,0.55692751
513,84,0.714838549
514,350,0.600740786
514,404,0.501304704
514,577,0.564938188
515,516,0.716005476
515,314,0.676961303
516,314,0.620176687
516,507,0.541217057
517,549,0.520615156
518,549,0.56576252
518,523,0.618240347
520,524,0.771732139
523,526,0.734781889
523,549,0.699440911
523,499,0.502147828
523,495,0.758173548
525,489,0.52476542
525,545,0.594781406
525,526,0.639814797
525,530,0.60926566
525,540,0.61961784
526,540,0.666531702
526,530,0.655395714
526,545,0.639814797
526,489,0.564497608
526,495,0.741187567
526,502,0.514859875
529,496,0.518563074
529,497,0.623431262
529,606,0.574251966
530,545,0.60926566
530,540,0.634706916
530,489,0.537544629
540,545,0.61961784
546,589,0.722782294
569,570,0.596621309
576,591,0.604002411
576,633,0.578821688
577,585,0.579524717
597,592,0.546585046
605,609,0.60875051
605,610,0.630701085
605,614,0.593974819
605,591,0.589061231
605,576,0.818801211
605,633,0.676096791
609,576,0.596654316
610,576,0.5922989
610,591,0.619440495
612,626,0.858563617
634,638,0.505102066
